article_id,annotator,node,ranges,tokens,label
5cf4789f896a7fea0600d732,B,16,"[[2244, 2333]]",A efetivação dos direitos requer mediações entre indivíduos e poderes públicos e privados,Value
5d04c332896a7fea06a0dfa5,C,1,"[[957, 1080]]","Adeptos, patrocinadores e operadores televisivos são defraudados e perdem o interesse no investimento afectivo e financeiro",Value(-)
5cf46162896a7fea06ff8973,B,4,"[[944, 1008]]",pouco mais de um terço dos contratos anunciados está formalizado,Fact
5cf4719e896a7fea060082ee,D,9,"[[2011, 2027]]",exige tratamento,Fact
5cf47206896a7fea06008592,A,7,"[[1591, 1602]]",fiabilidade,Fact
5cf4650f896a7fea06ffbe46,B,1,"[[0, 45]]",A OCDE prevê um abrandamento económico global,Fact
5cf461b7896a7fea06ff8bc8,B,1,"[[117, 155]]",tal não obtivesse um consenso alargado,Value
5cf471b8896a7fea060083d9,C,23,"[[2832, 2992]]",Mais gritante é a afirmação de que o PREVPAP “constitui um procedimento que não garante o princípio do mérito como critério de entrada na administração pública”,Value
5d04c4e8896a7fea06a0fa61,D,1,"[[2693, 2710]]",sim para competir,Fact
5cf46dd8896a7fea0600453d,B,9,"[[785, 820]]",falta de disponibilidade orçamental,Value
5cf46162896a7fea06ff8973,B,46,"[[3808, 3831]]","a média europeia é 2,0%",Fact
5d04c4aa896a7fea06a0f962,C,42,"[[3664, 3859]]","Atacar a raiz do problema reduzindo o risco inerente ao comportamento humano e construindo paisagens resilientes ao fogo para lá da microescala requer tempo e persistência, além de boa governança",Value
5cf47a54896a7fea0600df99,A,18,"[[3605, 3635]]",impostos sobre os combustíveis,Fact
5d04a8d7896a7fea069f6997,A,1,"[[1309, 1473]]","Em 1937, em Espanha, perante o avanço de Franco, vários jogadores bascos desertaram dos seus clubes e formaram uma equipa pretensamente representativa do País Basco",Fact
5cf4665e896a7fea06ffd932,C,16,"[[6043, 6140]]","ao poder político não interessam nem estas linhas, nem os pareceres de Inês Duarte e de Ivo Casto",Value
5cf4651d896a7fea06ffbec2,B,16,"[[871, 948]]","Alguns, talvez não inocentemente, têm negado significado e importância à DUDH",Value
5cf45b8a896a7fea06ff29a1,B,19,"[[2743, 2788]]",elimina o “Estatuto dos profissionais do SNS”,Value
5cf469b4896a7fea0600041f,A,14,"[[3930, 3985]]",a maioria dos seus problemas são mais do que conhecidos,Value
5cf46146896a7fea06ff884d,D,35,"[[4832, 4928]]",vão lembrar-se de que para crescerem tiveram ou de os bajular ou foram marginalizados e calcados,Value
5cf47d10896a7fea06010cd0,C,16,"[[5518, 5634]]","durante demasiado tempo, na fase mais recente da sua história, o Coliseu não olhou para si próprio de forma criativa",Value(-)
5d04c26a896a7fea06a0dd1a,D,24,"[[5747, 5767]]",Protesta em voz alta,Fact
5cf464b6896a7fea06ffbb9d,B,3,"[[1022, 1094]]","É esta intermediação intrusiva e abusiva que está, agora, posta em causa",Value
5cf47133896a7fea06007efc,A,8,"[[2892, 2931]]",é difícil imaginá-los em boas condições,Value
5cf47398896a7fea06009d64,B,7,"[[2430, 2477]]",o mundo da tecnologia apaixonar-se de tal forma,Value
5cf45b79896a7fea06ff290a,D,1,"[[2419, 2574]]",tenta responder a uma necessidade dos territórios: a corresponsabilização do Ministério da Cultura e das autarquias no funcionamento dos teatros municipais,Fact
5d04a31b896a7fea069ef06f,B,42,"[[4076, 4193]]","a colagem que Oliver fez e que os media em geral não fazem, apesar da disponibilidade da informação que a Web permite",Value
5cf465dd896a7fea06ffd52d,D,8,"[[1653, 1783]]","ao clube fundador, nas sociedades constituídas por esse meio (e só nesse caso), são legalmente conferidos meios de tutela especial",Fact
5d04a8d7896a7fea069f6997,B,2,"[[71, 119]]",duas equipas de onze jogadores disputam uma bola,Fact
5d04c473896a7fea06a0f809,C,6,"[[1158, 1260]]",não podemos perder de vista que o território goza de uma particularidade interessante: não vivemos sós,Policy
5cf464ac896a7fea06ffbb62,D,24,"[[3992, 4064]]",o Cais do Ginjal não está classificado de Interesse Público ou Municipal,Value
5cf4789f896a7fea0600d732,B,4,"[[396, 470]]",nunca adotaram Constituições semelhantes às dos Estados nacionais modernos,Fact
5cf46919896a7fea06ffff72,D,0,"[[207, 340]]","Talvez por isso, de uma maneira geral, os impostos, as taxas e os preços de serviços de interesse colectivo tratam tão mal a Economia",Value(-)
5cf46791896a7fea06ffe2a4,C,1,"[[912, 1005]]","não as usa como ato de desresponsabilização, que rasga o compromisso com o legado que recebeu",Value
5cf4615e896a7fea06ff894d,C,9,"[[1185, 1266]]",Essa avaliação de desempenho dos docentes do ensino superior está prevista na lei,Fact
5cec25a4896a7fea06b1bb32,A,27,"[[4867, 4947]]",A União Europeia continua a ter um largo apoio no conjunto da população europeia,Fact
5cf46416896a7fea06ffb67e,A,12,"[[3436, 3546]]","quando a bola rolar, muito do que se vai falar e discutir está relacionado com a questão da verdade desportiva",Value
5cf462a3896a7fea06ff92be,C,10,"[[312, 587]]","Nenhuma delas faz parte de um projeto governamental que respeite a autodeterminação dos povos e comunidades tradicionais e que, em sua interação com a comunidade académica, poderia gerar conhecimento para um novo e muito mais que urgente modelo de vida humana sobre o planeta",Value(-)
5d04c557896a7fea06a0fbc4,D,29,"[[6413, 6515]]","os signatários acham-se no direito de serem financiados pelo Estado, em nome da excelência da sua arte",Value(-)
5cf4615b896a7fea06ff8930,B,17,"[[3805, 3998]]","a outra metade, a burguesia, está completamente alheada dessa situação e sempre pronta a contra-atacar os governos que historicamente tentaram fazer algo para reduzir as desigualdades gritantes",Value(-)
5cf472cb896a7fea0600898e,B,14,"[[2414, 2599]]","Por todos os cantos do mundo, inclusive Portugal, as pessoas estão a sacudir o fatalismo do mal e a atravessar-se no caminho dos que procuram a divisão, o medo, o ódio e a discriminação",Value(+)
5d04c471896a7fea06a0f7fe,D,1,"[[175, 311]]","já lhe explicaram, com certeza, que a hora a que se regista um fogo é a hora a que ele é detectado, não a hora a que ele começa de facto",Fact
5cf466a0896a7fea06ffdb5e,B,71,"[[5529, 5613]]",a partir de certo ponto os benefícios inerentes podem ser inferiores aos seus custos,Value
5cef7f74896a7fea06d223f7,D,48,"[[4362, 4394]]",o português com 220 em 14 países,Fact
5cdd9732896a7fea062d6f8f,B,25,"[[4204, 4273]]","até ao momento todas as partes foram omissas, o Estado designadamente",Value(-)
5cf47306896a7fea06008adb,A,17,"[[1789, 1853]]","sem identidade própria, inovação ou que fomente a economia local",Value(-)
5cf4616c896a7fea06ff89bf,C,11,"[[602, 646]]",apenas admitiu fazer ajustes a este programa,Value
5cf45fee896a7fea06ff6d1e,A,24,"[[3345, 3392]]",é preciso que debaixo de tudo esteja uma canção,Value
5cf46204896a7fea06ff8e25,D,3,"[[1937, 1980]]",Khadija tem pago bem caro a sua luta cívica,Value(-)
5cf472a4896a7fea060088c2,A,19,"[[4453, 4473]]",não perturba ninguém,Value(-)
5cf45ad6896a7fea06ff24c3,C,0,"[[1610, 1720]]",indivíduos acima dos sessenta são muito mais saudáveis se comparados aos da mesma idade da metade do século 20,Value(+)
5cf463ce896a7fea06ffb465,C,39,"[[3190, 3208]]",se terem reformado,Fact
