article_id,annotator,node,ranges,tokens,label
5cf4789f896a7fea0600d732,B,16.0,"[[2244, 2333]]",A efetivação dos direitos requer mediações entre indivíduos e poderes públicos e privados,Value
5cf461b7896a7fea06ff8bc8,B,1.0,"[[117, 155]]",tal não obtivesse um consenso alargado,Value
5cf471b8896a7fea060083d9,C,23.0,"[[2832, 2992]]",Mais gritante é a afirmação de que o PREVPAP “constitui um procedimento que não garante o princípio do mérito como critério de entrada na administração pública”,Value
5cf46dd8896a7fea0600453d,B,9.0,"[[785, 820]]",falta de disponibilidade orçamental,Value
5d04c4aa896a7fea06a0f962,C,42.0,"[[3664, 3859]]","Atacar a raiz do problema reduzindo o risco inerente ao comportamento humano e construindo paisagens resilientes ao fogo para lá da microescala requer tempo e persistência, além de boa governança",Value
5cf4665e896a7fea06ffd932,C,16.0,"[[6043, 6140]]","ao poder político não interessam nem estas linhas, nem os pareceres de Inês Duarte e de Ivo Casto",Value
5cf4651d896a7fea06ffbec2,B,16.0,"[[871, 948]]","Alguns, talvez não inocentemente, têm negado significado e importância à DUDH",Value
5cf45b8a896a7fea06ff29a1,B,19.0,"[[2743, 2788]]",elimina o “Estatuto dos profissionais do SNS”,Value
5cf469b4896a7fea0600041f,A,14.0,"[[3930, 3985]]",a maioria dos seus problemas são mais do que conhecidos,Value
5cf46146896a7fea06ff884d,D,35.0,"[[4832, 4928]]",vão lembrar-se de que para crescerem tiveram ou de os bajular ou foram marginalizados e calcados,Value
5cf464b6896a7fea06ffbb9d,B,3.0,"[[1022, 1094]]","É esta intermediação intrusiva e abusiva que está, agora, posta em causa",Value
5cf47133896a7fea06007efc,A,8.0,"[[2892, 2931]]",é difícil imaginá-los em boas condições,Value
5cf47398896a7fea06009d64,B,7.0,"[[2430, 2477]]",o mundo da tecnologia apaixonar-se de tal forma,Value
5d04a31b896a7fea069ef06f,B,42.0,"[[4076, 4193]]","a colagem que Oliver fez e que os media em geral não fazem, apesar da disponibilidade da informação que a Web permite",Value
5cf464ac896a7fea06ffbb62,D,24.0,"[[3992, 4064]]",o Cais do Ginjal não está classificado de Interesse Público ou Municipal,Value
5cf46791896a7fea06ffe2a4,C,1.0,"[[912, 1005]]","não as usa como ato de desresponsabilização, que rasga o compromisso com o legado que recebeu",Value
5cf46416896a7fea06ffb67e,A,12.0,"[[3436, 3546]]","quando a bola rolar, muito do que se vai falar e discutir está relacionado com a questão da verdade desportiva",Value
5cf466a0896a7fea06ffdb5e,B,71.0,"[[5529, 5613]]",a partir de certo ponto os benefícios inerentes podem ser inferiores aos seus custos,Value
5cf4616c896a7fea06ff89bf,C,11.0,"[[602, 646]]",apenas admitiu fazer ajustes a este programa,Value
5cf45fee896a7fea06ff6d1e,A,24.0,"[[3345, 3392]]",é preciso que debaixo de tudo esteja uma canção,Value
5cf464a8896a7fea06ffbb46,C,55.0,"[[6831, 6967]]",vendo grande parte dos liberais migrarem para o apoio ao nazismo para salvarem as suas propriedades e lucros contra a ameaça bolchevique,Value
5d04c34a896a7fea06a0dff6,A,10.0,"[[1299, 1321]]",não vale a pena nomear,Value
5cf46146896a7fea06ff884d,B,51.0,"[[4270, 4351]]",assim os ‘educámos’ de rédea à solta e ‘paninhos quentes’ por causa dos ‘traumas’,Value
5cf45ab2896a7fea06ff23a1,B,5.0,"[[562, 610]]",assim como a sua taxa de utilização e eficiência,Value
5cf45bc3896a7fea06ff2b2d,B,55.0,"[[6939, 6995]]","A cruzada contra o SNS, aparentemente, parece defendê-lo",Value
5ce31557896a7fea065ee806,B,4.0,"[[812, 872]]",parecia grande a erosão política e social dos últimos tempos,Value
5d04a3fc896a7fea069f0717,B,5.0,"[[1906, 2180]]","A minha classificação de teórico atribuída a Carlos Queirós, tendo, para além disso, provas práticas dadas como mero exemplo dois campeonatos mundiais de futebol sub-20, um modestíssimo jogador de futebol competitivo, encontra razão na sua formação e docência universitárias",Value
5cf4667a896a7fea06ffda1a,C,1.0,"[[2415, 2634]]","seria não só de uma grande injustiça, mas também de uma grande irresponsabilidade conceder a contagem de mais tempo aos professores, se tal não puder ser garantido a todas as carreiras que se encontram na mesma situação",Value
5cf45e7b896a7fea06ff60cd,B,40.0,"[[3609, 3653]]",há óbvias consequências e perguntas segundas,Value
5cf46dd8896a7fea0600453d,B,4.0,"[[278, 352]]",Em dez anos quase todas irão perder cerca de um terço do seu corpo docente,Value
5cf45fee896a7fea06ff6d1e,B,15.0,"[[538, 674]]","obrigação da empresa fazê-lo ao melhor nível, promovendo simultaneamente a indústria nacional do setor, cruzando competências e gerações",Value
5cf46919896a7fea06ffff72,B,22.0,"[[2683, 2810]]",a boa vontade das instituições que produzem e armazenam estes dados a fim de acederem à informação que não é do domínio público,Value
5cef7f74896a7fea06d223f7,D,29.0,"[[3214, 3254]]","Na realidade, diz ele, “o que muda é 2%”",Value
5cf4602f896a7fea06ff6f27,B,14.0,"[[1181, 1203]]",dívida imposta pela UE,Value
5d04a455896a7fea069f07ab,D,0.0,"[[846, 1006]]",Esta lei da guerra é uma espécie de deslocamento da lei da selva que opõe os animais carnívoros aos herbívoros e estes às plantas como condição de sobrevivência,Value
5cf46311896a7fea06ffab76,C,5.0,"[[4054, 4187]]","todo o percurso da Fundação foi de total dissonância com as linhas orientadoras do regime ditatorial, designadamente em sede cultural",Value
5cf45e19896a7fea06ff4ddd,B,5.0,"[[1589, 1664]]",o Manuel Graça Dias não fazia a apologia da ignorância e do desenraizamento,Value
5cf46052896a7fea06ff703f,B,7.0,"[[1266, 1317]]",precisam de ser ouvidos mais vezes em toda a Europa,Value
5cf47a54896a7fea0600df99,C,16.0,"[[725, 836]]",a JFC pretende implementar esses dois OP como contrapartida da instalação de parquímetros na sua zona histórica,Value
5cdd971b896a7fea062d6e3d,B,21.0,"[[3813, 3947]]",Entendem-se as razões pelas quais o Estado Novo tenha decidido inventar toda uma História para substituir aquela que as fontes referem,Value
5cf45b99896a7fea06ff2a13,B,32.0,"[[4230, 4337]]","este é um deles, o de aumentar os poderes dos que, em cada instituição, se consideram os “donos disto tudo”",Value
5cf45f67896a7fea06ff690f,B,61.0,"[[4066, 4171]]",um imposto europeu ou impostos nacionais uniformes cujas receitas revertam para a União são a mesma coisa,Value
5cf47d10896a7fea06010cd0,A,1.0,"[[122, 228]]",se afirma como sala de espectáculos histórica em consonância com uma arquitectura de excelência e pioneira,Value
5cf46046896a7fea06ff6fe1,D,0.0,"[[170, 210]]",O problema é a ambiguidade com que o faz,Value
5cf47676896a7fea0600bcba,D,8.0,"[[1158, 1271]]",os vinhos estão a ficar com mais álcool e também com mais hidratos de carbono (a frutose é um hidrato de carbono),Value
5cf45f25896a7fea06ff6744,B,6.0,"[[1279, 1306]]",condições em que é prestado,Value
5cf45cd3896a7fea06ff4418,B,25.0,"[[3266, 3568]]","instam os responsáveis políticos espanhóis e catalães a que encontrem uma solução política, de modo a que os cidadãos da Catalunha (“independentistas” ou “unionistas”) possam, em condições de igualdade de oportunidades e de lisura processual, votar livremente sobre o seu destino político-institucional",Value
5cf47060896a7fea060065a0,A,13.0,"[[770, 814]]",garantiram lei e ordem no desporto no futuro,Value
5cf46465896a7fea06ffb90e,B,6.0,"[[497, 536]]",escrevo com canetas de tinta permanente,Value
5cf4615e896a7fea06ff894d,B,30.0,"[[2540, 2564]]",vive em terra de ninguém,Value
5cf46076896a7fea06ff7155,A,0.0,"[[417, 492]]",é o momento de todos e cada um de nós fazer a sua quota-parte neste combate,Value
5d04c544896a7fea06a0fb82,D,60.0,"[[7725, 7759]]",o Phelps é uma espécie de marginal,Value
5cf46b97896a7fea0600233c,D,3.0,"[[1040, 1136]]",fornecendo boas oportunidades à Justiça quando os infratores subvalorizam os seus crimes menores,Value
5d04c4a1896a7fea06a0f926,C,19.0,"[[2072, 2143]]",a gravidade dos factos que envolveram os filhos do embaixador do Iraque,Value
5cf468d7896a7fea06fffd56,B,24.0,"[[5872, 5911]]",retardamento da modernização portuguesa,Value
5cf46174896a7fea06ff8a09,C,0.0,"[[1035, 1079]]","o humor perdeu, em Portugal, a marginalidade",Value
5cf45d88896a7fea06ff4983,D,3.0,"[[3486, 3583]]","No Ocidente as reações às incursões comerciais chinesas têm sido díspares e, por vezes, bipolares",Value
5cf47924896a7fea0600da24,D,37.0,"[[4563, 4642]]",já estavam ideologicamente engatilhadas e à espera de um pretexto para disparar,Value
5cf46324896a7fea06ffac81,C,10.0,"[[3927, 4196]]","só lendo os nossos maiores podemos, como deseja Ramalho Eanes, combater “provincianismos evasivos e perversos saudosismos, de maneira a termos autónomo futuro, no presente, e autónomo futuro, no futuro, como Pátria livre, forte, velha e de tão distintiva personalidade”",Value
5cf46673896a7fea06ffd9e4,B,23.0,"[[3447, 3493]]",Adiar a decisão por mais dois anos não é opção,Value
5cf472bd896a7fea06008959,A,22.0,"[[6365, 6449]]","a visão macro do país, com a aposta em dois grandes núcleos urbanos, não tem ajudado",Value
5cf45e22896a7fea06ff4e2a,C,0.0,"[[269, 395]]",É muito provável que o século XXI nos traga pelo menos tantas transformações tecnológicas como as que trouxe o século anterior,Value
5cf46311896a7fea06ffab76,C,4.0,"[[3952, 4042]]",É anacrónico acusar José de Azeredo Perdigão de ligação ou de conivência com o Estado Novo,Value
5cf469e5896a7fea06000599,D,24.0,"[[5551, 5605]]",seria útil clarificar estas questões em futuros avisos,Value
5cf462d0896a7fea06ff9424,D,18.0,"[[3591, 3691]]",quando as leis representam avanços civilizacionais devem entrar em vigor o mais rapidamente possível,Value
5cf45bb2896a7fea06ff2abd,C,4.0,"[[2033, 2125]]",assumindo que a contratação de entidades terceiras é condicionada à avaliação da necessidade,Value
5cf47251896a7fea06008716,D,15.0,"[[566, 646]]","no fundo, ao ler a notícia, todos sentimos o que escreveu Alexandra Lucas Coelho",Value
5cf45ff3896a7fea06ff6d3c,D,3.0,"[[517, 560]]","é, em primeiro lugar, um assunto dos homens",Value
5cf45ea1896a7fea06ff6237,C,13.0,"[[1076, 1124]]",os autarcas passam a fazer registo de interesses,Value
5cf469bf896a7fea06000481,A,1.0,"[[52, 146]]",Não é fácil afirmar-se como uma grande capital de distrito paredes meias com a capital do país,Value
5cf47196896a7fea0600829d,A,7.0,"[[1378, 1477]]",Para muitos dos adeptos das equipas adversárias ou não houve penálti e foi o árbitro que o inventou,Value
5cf46b63896a7fea060021dd,B,18.0,"[[3804, 3913]]","O horizonte de futuro termina nas pensões, progressões, reposições e outras reivindicações para o ano que vem",Value
5cf46268896a7fea06ff9135,A,12.0,"[[3683, 3747]]","O modelo foi blindado pelos novos estatutos, em Dezembro de 2017",Value
5cf45bf8896a7fea06ff2cd0,B,3.0,"[[4280, 4384]]",têm sido relevantes no seu contributo para estabelecer abordagens novas aos problemas de desenvolvimento,Value
5d04c3eb896a7fea06a0e1fc,A,1.0,"[[352, 375]]",os nomes internacionais,Value
5cf47b10896a7fea0600f3dc,C,21.0,"[[2686, 2715]]",Exemplos do contrário abundam,Value
5cf461fc896a7fea06ff8de8,B,26.0,"[[2727, 2802]]","A quota do diesel tem vindo a diminuir lentamente, e Portugal não é exceção",Value
5cf45e22896a7fea06ff4e2a,B,36.0,"[[6906, 7045]]","para podermos manter no futuro a competitividade internacional que nos custou tanto a atingir, é necessário investimento, público e privado",Value
5d04be7b896a7fea06a07cf1,C,1.0,"[[1618, 1663]]",ele defende uma “coordenação muito mais leve”,Value
5cf469bf896a7fea06000481,A,0.0,"[[0, 50]]",Há muito que Setúbal tem uma identidade fortíssima,Value
5cf462b6896a7fea06ff9357,B,22.0,"[[3171, 3246]]",as audaciosas promessas quanto às quilometragens conseguidas entre recargas,Value
5cf464b6896a7fea06ffbb9d,B,8.0,"[[2108, 2199]]",Nas redes mais distribuídas as relações entre produtores e consumidores estão lateralizadas,Value
5cf45ca9896a7fea06ff42fb,A,6.0,"[[6115, 6222]]","Não parece haver nos nossos dias alternativa consistente ao modelo do indivíduo racional, isolado e egoísta",Value
5cde31c4896a7fea063370a5,B,22.0,"[[4677, 4761]]",Apenas o político “com mundo” tem a capacidade de liderar a complexidade do desporto,Value
5cf46bc3896a7fea0600247f,A,11.0,"[[4404, 4562]]",os tais “povos descobertos” e hoje independentes vão organizando a sua história e jamais podem abdicar do que também foi o seu passado “europeu” ou “colonial”,Value
5cf46474896a7fea06ffb98d,B,10.0,"[[1057, 1089]]",a política europeia esta a mudar,Value
5cf45bf8896a7fea06ff2cd0,D,17.0,"[[5243, 5283], [5350, 5415]]","Hoje, a nível nacional, regional, local, não tem sentido ignorar os novos modelos de participação política",Value
5cf461b7896a7fea06ff8bc8,D,1.0,"[[1179, 1238]]",seria a única maneira de os partidos da direita a aprovarem,Value
5cf464ac896a7fea06ffbb62,B,7.0,"[[2878, 2992]]",construção em altura para que todos os novos habitantes possam usufruir de vistas para o rio e para a outra margem,Value
5cf46474896a7fea06ffb98d,B,9.0,"[[1028, 1049]]",ela começou a existir,Value
5cf46fb5896a7fea06006266,A,21.0,"[[6223, 6244]]",A RPM não desapareceu,Value
5cf4616d896a7fea06ff89c8,B,25.0,"[[3997, 4070]]","Depende, e de que maneira, da qualidade de desempenho dos seus servidores",Value
5cf45bc3896a7fea06ff2b2d,C,11.0,"[[2616, 2643]]",Apoiados por toda a direita,Value
5cf4699b896a7fea06000352,A,5.0,"[[2534, 2600]]",está em causa a gestão financeira de responsabilidades com pensões,Value
5d04bcb5896a7fea06a06489,C,33.0,"[[1892, 1987]]",partilha de informação entre a Federação e os treinadores pessoais dos atletas mais promissores,Value
5cf45c80896a7fea06ff4187,C,4.0,"[[830, 1015]]",uma declaração do técnico autor do projeto de que são observadas as opções de construção adequadas à segurança estrutural e sísmica do edifício dispensa a câmara de qualquer verificação,Value
5cf45fa5896a7fea06ff6b01,C,15.0,"[[1952, 2033]]",resta-nos esperar que ele tenha o estômago e o carácter necessários para a tarefa,Value
5cf46fc3896a7fea060062a3,D,1.0,"[[166, 305]]",para assistir a um novo episódio do folhetim que capturou as atenções gerais e foi tema quase único dos noticiários jornalísticos da semana,Value
5cf46a26896a7fea060016b1,C,2.0,"[[1789, 1930]]",O PDM de 2012 foi um processo profundamente participado e escrutinado pelos principais agentes da vida de Lisboa e naturalmente pela imprensa,Value
5cf4614b896a7fea06ff8882,B,7.0,"[[2193, 2282]]",reafirmo as divergências de natureza política relativamente à solução adotada no caso BES,Value
5cf466ae896a7fea06ffdbd1,B,5.0,"[[2485, 2741]]","não surgirão apoios ou declarações de simpatia de países ou organizações internacionais para os ""Gilets Jaunes"", nem condenações severas por parte desses mesmos países ou organizações dos métodos utilizados pela França em relação aos seus próprios cidadãos",Value
5cf45e48896a7fea06ff4f60,C,11.0,"[[5899, 6445]]","surge num clima de névoa, gasoso e atomizado, que congrega autores consagrados que reinventaram e enriqueceram a sua pesquisa (6A, Bruther, Caruso St John, Mary Duggan, Office KGDVS, Sergison Bates ou o português Bak Gordon); com jovens turcos sem preconceitos de desenho na relação entre a história e o presente (EMI, Gafpa, Lütjens Padmanabhan, Made In, Monadnock ou Ted’A); com a redescoberta de autores prematuramente descartados ou excêntricos à historiografia autorizada (Alberto Ponis, James Wines, Luigi Caccia Dominioni ou Hans Kollhoff)",Value
5cf45b89896a7fea06ff2999,B,16.0,"[[2842, 2890]]",apenas se arranjam ou se desenrascam umas coisas,Value
5d04c544896a7fea06a0fb82,D,68.0,"[[8717, 8783]]","Esses vivem da glória, dos risos, dos festejos e também dos choros",Value
5cf45aa4896a7fea06ff2325,B,3.0,"[[1947, 2205]]","A Escola começa, paulatinamente, a compreender que a sua atual, urgente e imprescindível missão consiste em formar “alunos globais” e que o professor do novo milénio tem, ele próprio, de se multifacetar, transmutar, para assumir o papel de “professor global”",Value
5cf4704c896a7fea06006528,A,12.0,"[[2266, 2384]]",os mecanismos legais de protecção do arvoredo que poderiam restringir e regular as intervenções têm um âmbito limitado,Value
5cf47650896a7fea0600bbc7,A,5.0,"[[1910, 1992]]",o valor a pagar pela observação e agenciamento dos jogadores deve subir claramente,Value
5cf472a4896a7fea060088c2,B,7.0,"[[732, 763]]",Resumiu bem o espírito da noite,Value
5cf45e48896a7fea06ff4f60,B,0.0,"[[373, 486]]","o imaginário do “moderno”, dominante na arquitectura há décadas, é hoje finalmente contestado de forma inequívoca",Value
5cf45de6896a7fea06ff4c48,B,3.0,"[[2083, 2164]]",A greve como forma de luta é um direito aceite como legítimo pela opinião pública,Value
5cf4699b896a7fea06000352,A,8.0,"[[5880, 6011]]","estamos na presença de um leque alargado de matérias que necessitam de formar um todo consistente e harmonioso, duradouro e estável",Value
5cf47d10896a7fea06010cd0,A,26.0,"[[5518, 5634]]","durante demasiado tempo, na fase mais recente da sua história, o Coliseu não olhou para si próprio de forma criativa",Value
