article_id,annotator,node,ranges,tokens,label
5cf472cb896a7fea0600898e,B,14.0,"[[2414, 2599]]","Por todos os cantos do mundo, inclusive Portugal, as pessoas estão a sacudir o fatalismo do mal e a atravessar-se no caminho dos que procuram a divisão, o medo, o ódio e a discriminação",Value(+)
5cf45ad6896a7fea06ff24c3,C,0.0,"[[1610, 1720]]",indivíduos acima dos sessenta são muito mais saudáveis se comparados aos da mesma idade da metade do século 20,Value(+)
5cf47065896a7fea060065b5,C,10.0,"[[893, 1029]]",A boa intenção é ir ao encontro dos legítimos anseios de uns milhares de bolseiros de pós-doutoramento por maior estabilidade de emprego,Value(+)
5ce41275896a7fea0667e8ba,D,13.0,"[[1280, 1632]]","A incorporação de conhecimento científico, a aposta em novas formas de gestão ativa da floresta, acrescentando escala e incentivos fiscais, a valorização dos serviços de ecossistema, o cadastro, o crescente número de ações de fogo controlado, os programas “Aldeia Segura” e “Pessoas Seguras” são bons exemplos que fundamentam a escolha do caminho certo",Value(+)
5d04ad52896a7fea069f9c0d,B,4.0,"[[687, 836]]",lhes permitem competir a um nível mais elevado do que aquele que lhes seria possível recorrendo apenas a receitas ordinárias e endividamento bancário,Value(+)
5cf46220896a7fea06ff8f04,B,3.0,"[[1854, 1961]]","Um deles é particularmente notável, por várias razões, incluindo aspectos familiares pouco... transparentes",Value(+)
5d04c557896a7fea06a0fbc4,B,51.0,"[[9539, 9834]]","Felizmente, António Costa já deu o mote para que o seu Ministro da Cultura ponha cobro a uma prática de várias décadas e tome as medidas legais que consagrem uma nova política, que permita que o cinema português reconquiste finalmente o seu público e se aproxime rapidamente das médias europeias",Value(+)
5cf4651d896a7fea06ffbec2,B,0.0,"[[0, 49]]",É justo celebrar o 70.º aniversário da Declaração,Value(+)
5cf4b764896a7fea06032673,B,38.0,"[[4631, 4807]]","só uma entidade independente (por exemplo, do Estado) poderia providenciar um estudo anual credível e comparável sobre o percurso profissional dos graduados de cada instituição",Value(+)
5cee2df3896a7fea06c54a35,D,1.0,"[[691, 768]]",isso não inibe os fervorosos adeptos de agitarem a bandeira do reconhecimento,Value(+)
5cf47793896a7fea0600c1af,B,12.0,"[[1705, 1787]]",se mostram capazes de lançar pontes de solidariedade em direções aos clubes rivais,Value(+)
5d04ad52896a7fea069f9c0d,B,5.0,"[[857, 930]]",maior competitividade das provas e alternância entre os clubes vencedores,Value(+)
5ce43ca4896a7fea06697d6f,D,24.0,"[[4371, 4499]]",um objetivo tão valioso e importante como qualquer outra certificação de qualidade no que ao produto comercializado diz respeito,Value(+)
5cf461a4896a7fea06ff8b5a,B,27.0,"[[2769, 2816]]",um país com imenso potencial ao nível económico,Value(+)
5cf46b82896a7fea060022c1,D,8.0,"[[1548, 1631]]","um verdadeiro “Estado de direitos humanos”, na linha da frente em termos comparados",Value(+)
5d04c590896a7fea06a0fc78,C,4.0,"[[3796, 3856]]",jeito de transformar o amargo de boca no doce que nos espera,Value(+)
5d04a52f896a7fea069f0921,A,3.0,"[[88, 105]]",grandes surpresas,Value(+)
5ce43ca4896a7fea06697d6f,D,15.0,"[[3036, 3071]]",em menor grau que outras indústrias,Value(+)
