article_id,annotator,node,ranges,tokens,label
5d04c332896a7fea06a0dfa5,C,1.0,"[[957, 1080]]","Adeptos, patrocinadores e operadores televisivos são defraudados e perdem o interesse no investimento afectivo e financeiro",Value(-)
5cf47d10896a7fea06010cd0,C,16.0,"[[5518, 5634]]","durante demasiado tempo, na fase mais recente da sua história, o Coliseu não olhou para si próprio de forma criativa",Value(-)
5cf46919896a7fea06ffff72,D,0.0,"[[207, 340]]","Talvez por isso, de uma maneira geral, os impostos, as taxas e os preços de serviços de interesse colectivo tratam tão mal a Economia",Value(-)
5cf462a3896a7fea06ff92be,C,10.0,"[[312, 587]]","Nenhuma delas faz parte de um projeto governamental que respeite a autodeterminação dos povos e comunidades tradicionais e que, em sua interação com a comunidade académica, poderia gerar conhecimento para um novo e muito mais que urgente modelo de vida humana sobre o planeta",Value(-)
5d04c557896a7fea06a0fbc4,D,29.0,"[[6413, 6515]]","os signatários acham-se no direito de serem financiados pelo Estado, em nome da excelência da sua arte",Value(-)
5cf4615b896a7fea06ff8930,B,17.0,"[[3805, 3998]]","a outra metade, a burguesia, está completamente alheada dessa situação e sempre pronta a contra-atacar os governos que historicamente tentaram fazer algo para reduzir as desigualdades gritantes",Value(-)
5cdd9732896a7fea062d6f8f,B,25.0,"[[4204, 4273]]","até ao momento todas as partes foram omissas, o Estado designadamente",Value(-)
5cf47306896a7fea06008adb,A,17.0,"[[1789, 1853]]","sem identidade própria, inovação ou que fomente a economia local",Value(-)
5cf46204896a7fea06ff8e25,D,3.0,"[[1937, 1980]]",Khadija tem pago bem caro a sua luta cívica,Value(-)
5cf472a4896a7fea060088c2,A,19.0,"[[4453, 4473]]",não perturba ninguém,Value(-)
5cf479e4896a7fea0600ddac,A,24.0,"[[2551, 2580]]",O estado de graça acabou cedo,Value(-)
5cf47196896a7fea0600829d,D,0.0,"[[914, 924]]",Impossível,Value(-)
5cf46441896a7fea06ffb7d7,D,14.0,"[[4033, 4105]]","mais corruptas, ineficientes, menos transparentes e a atraírem os piores",Value(-)
5cf45e6f896a7fea06ff6056,C,4.0,"[[1026, 1181]]","a solução passaria pela imposição da vontade de uns Estados sobre outros, quebrando o princípio da unanimidade e passando por cima da soberania dos Estados",Value(-)
5d04c505896a7fea06a0fabc,B,15.0,"[[1984, 2028]]",existindo por isso um conflito de interesses,Value(-)
5cf46846896a7fea06fff8d2,D,2.0,"[[2755, 2907]]","Assistimos, assim, a um ataque ao valor do trabalho e da propriedade intelectual em benefício do aumento das margens do sector financeiro e especulativo",Value(-)
5cf47030896a7fea0600649b,A,12.0,"[[5904, 5983]]","também ele passou muita fominha depois do almoço, até chegar a casa para jantar",Value(-)
5cf45cb1896a7fea06ff432e,B,3.0,"[[37, 91]]",a fraca qualidade do desempenho de muitas instituições,Value(-)
5cef7f74896a7fea06d223f7,B,16.0,"[[2487, 2528]]",o AO contém um vasto rol de erros crassos,Value(-)
5cf47306896a7fea06008adb,D,6.0,"[[575, 642]]",Nem uns nem outros se preocuparam com o que ali se poderia instalar,Value(-)
5cf45c4e896a7fea06ff3f82,B,7.0,"[[1462, 1531]]",rapidamente perceberam que o seu eleitorado tradicional não os perdoa,Value(-)
5cf46fb5896a7fea06006266,C,7.0,"[[2366, 2447]]","Vêm outros, iniciando a mesma via-sacra que dura há décadas e não pára de crescer",Value(-)
5cf45f5e896a7fea06ff68c2,A,8.0,"[[1286, 1323]]",agora este folclore das indemnizações,Value(-)
5cf45f25896a7fea06ff6744,D,18.0,"[[2495, 2579]]",a OIT alerta ainda para o facto de as inspeções do trabalho terem sofrido uma quebra,Value(-)
5cf47b6b896a7fea0600f57c,A,12.0,"[[1411, 1431]]",sectarismo mediático,Value(-)
5cf46587896a7fea06ffd19d,C,18.0,"[[2896, 3002]]",raros foram os momentos em que as propostas apresentadas pela direção do PSD foram explicadas com eficácia,Value(-)
5d04bcb5896a7fea06a06489,D,5.0,"[[214, 262]]",ainda há espaço para uma grande evolução de base,Value(-)
5cf47072896a7fea060065dd,D,1.0,"[[1602, 1718]]","o poder nos clubes ainda se alimenta de quimeras, emoção e do “chutar para a frente” as dificuldades e as obrigações",Value(-)
5cf478aa896a7fea0600d78b,C,9.0,"[[590, 720]]","um outro palácio, o de São Miguel, na belíssima Praça da Alegria, viu o seu interior integralmente demolido de um dia para o outro",Value(-)
5cf463d6896a7fea06ffb4a8,B,57.0,"[[9566, 9679]]","Trata-se de um estudo fundamental, e a sua inexistência configura uma negligência grosseira para com os afectados",Value(-)
5cf4704c896a7fea06006528,C,3.0,"[[2000, 2115]]","Estas intervenções radicais, muitas vezes por decisão directa de autarcas, destroem a prazo os exemplares atingidos",Value(-)
5cf45d02896a7fea06ff459a,B,5.0,"[[799, 813]]",sobe os preços,Value(-)
5cf45fb3896a7fea06ff6b7f,D,15.0,"[[4065, 4210]]","Caímos, pois, numa peculiar situação em que a poderosa DGCom é ela própria geradora de obstáculos à concorrência, entre regimes fiscais na Europa",Value(-)
5d04c471896a7fea06a0f7fe,A,1.0,"[[67, 167]]",Não vou falar-lhe da minha desilusão em vê-lo dizer que os fogos nocturnos só podem ser intencionais,Value(-)
5d04c47f896a7fea06a0f857,C,8.0,"[[3124, 3157]]",O direito penal actua tardiamente,Value(-)
5d04c487896a7fea06a0f888,C,7.0,"[[6374, 6392]]",Agravaram impostos,Value(-)
5cf47588896a7fea0600a76d,D,13.0,"[[3676, 3732], [3746, 3793]]","As pessoas eram levadas a praticar atrocidades tremendas , incluindo, muito provavelmente, o canibalismo",Value(-)
5cf46a05896a7fea06000656,B,16.0,"[[3332, 3543]]","Equiparar o reconhecimento do direito do criador impedir o aproveitamento económico não autorizado da sua própria expressão artística a qualquer forma de censura é um erro lógico, além de um argumento demagógico",Value(-)
5cf45c73896a7fea06ff40fa,B,0.0,"[[240, 298]]",José Sócrates seja um espinho cravado na ética republicana,Value(-)
5cf460d1896a7fea06ff83bd,C,6.0,"[[2323, 2417]]",Ouço muitas vezes jovens frustrados com o facto de os seus líderes lhes retirarem protagonismo,Value(-)
5ce377c4896a7fea0662596b,B,13.0,"[[2448, 2493]]",institucionalizando o nepotismo e a corrupção,Value(-)
5cf471b8896a7fea060083d9,A,13.0,"[[3610, 3672]]",uma farsa que se perpetua pelo tempo e pelos diversos governos,Value(-)
5cf46311896a7fea06ffab76,B,8.0,"[[1918, 1947]]",Tal ausência causa estranheza,Value(-)
5cf45cb1896a7fea06ff432e,B,13.0,"[[895, 968]]",a educação dos profissionais tarda a acertar o passo com estas realidades,Value(-)
5cf46076896a7fea06ff7155,A,6.0,"[[1312, 1357]]",Nada naquela informação corresponde à verdade,Value(-)
5cf47875896a7fea0600d5fc,A,9.0,"[[1355, 1382]]",nem tudo são rosas para CR7,Value(-)
5cf46bc3896a7fea0600247f,C,7.0,"[[2967, 3034]]","No meu tempo de estudante, usar Magalhães Godinho era uma “heresia”",Value(-)
5cf46046896a7fea06ff6fe1,C,10.0,"[[3010, 3075]]",pouco ou nada de “responsável” se encontra nas propostas do Bloco,Value(-)
5ce393e4896a7fea066355bd,C,4.0,"[[385, 432]]",constantes cortes financeiros ao longo dos anos,Value(-)
5d04be7b896a7fea06a07cf1,D,13.0,"[[5173, 5207]]",Canavilhas escolheu um mau exemplo,Value(-)
5cf45bbc896a7fea06ff2b00,B,3.0,"[[1382, 1495]]",alguns desses problemas têm agora propostas de resolução que denotam uma grande arrogância de quem não sabe fazer,Value(-)
5cf47b6b896a7fea0600f57c,C,0.0,"[[405, 479]]",Iniciar uma discussão desta natureza no actual contexto não é tarefa fácil,Value(-)
5cf47072896a7fea060065dd,D,23.0,"[[4954, 4990]]",não se cuida da sua sustentabilidade,Value(-)
