article_id,annotator,node,ranges,tokens,label
5cf46162896a7fea06ff8973,B,4.0,"[[944, 1008]]",pouco mais de um terço dos contratos anunciados está formalizado,Fact
5cf4719e896a7fea060082ee,D,9.0,"[[2011, 2027]]",exige tratamento,Fact
5cf47206896a7fea06008592,A,7.0,"[[1591, 1602]]",fiabilidade,Fact
5cf4650f896a7fea06ffbe46,B,1.0,"[[0, 45]]",A OCDE prevê um abrandamento económico global,Fact
5d04c4e8896a7fea06a0fa61,D,1.0,"[[2693, 2710]]",sim para competir,Fact
5cf46162896a7fea06ff8973,B,46.0,"[[3808, 3831]]","a média europeia é 2,0%",Fact
5cf47a54896a7fea0600df99,A,18.0,"[[3605, 3635]]",impostos sobre os combustíveis,Fact
5d04a8d7896a7fea069f6997,A,1.0,"[[1309, 1473]]","Em 1937, em Espanha, perante o avanço de Franco, vários jogadores bascos desertaram dos seus clubes e formaram uma equipa pretensamente representativa do País Basco",Fact
5d04c26a896a7fea06a0dd1a,D,24.0,"[[5747, 5767]]",Protesta em voz alta,Fact
5cf45b79896a7fea06ff290a,D,1.0,"[[2419, 2574]]",tenta responder a uma necessidade dos territórios: a corresponsabilização do Ministério da Cultura e das autarquias no funcionamento dos teatros municipais,Fact
5cf465dd896a7fea06ffd52d,D,8.0,"[[1653, 1783]]","ao clube fundador, nas sociedades constituídas por esse meio (e só nesse caso), são legalmente conferidos meios de tutela especial",Fact
5d04a8d7896a7fea069f6997,B,2.0,"[[71, 119]]",duas equipas de onze jogadores disputam uma bola,Fact
5cf4789f896a7fea0600d732,B,4.0,"[[396, 470]]",nunca adotaram Constituições semelhantes às dos Estados nacionais modernos,Fact
5cf4615e896a7fea06ff894d,C,9.0,"[[1185, 1266]]",Essa avaliação de desempenho dos docentes do ensino superior está prevista na lei,Fact
5cec25a4896a7fea06b1bb32,A,27.0,"[[4867, 4947]]",A União Europeia continua a ter um largo apoio no conjunto da população europeia,Fact
5d04c471896a7fea06a0f7fe,D,1.0,"[[175, 311]]","já lhe explicaram, com certeza, que a hora a que se regista um fogo é a hora a que ele é detectado, não a hora a que ele começa de facto",Fact
5cef7f74896a7fea06d223f7,D,48.0,"[[4362, 4394]]",o português com 220 em 14 países,Fact
5cf463ce896a7fea06ffb465,C,39.0,"[[3190, 3208]]",se terem reformado,Fact
5cf47074896a7fea060065e9,B,20.0,"[[5765, 5836]]",o filme tem 78 cenas e que apenas duas foram “inspiradas” na minha obra,Fact
5cf4618f896a7fea06ff8ad9,D,3.0,"[[2033, 2191]]",O Partido Socialista Unido da Venezuela (PSUV) transformou a Venezuela no país mais violento da América Latina em que se computam 23.047 homicídios só em 2018,Fact
5cf46546896a7fea06ffc011,A,12.0,"[[2041, 2106]]","todos os escalões da carreira, à excepção do 5.º, têm quatro anos",Fact
5cf46546896a7fea06ffc011,D,11.0,"[[1953, 2106]]","o que se determina é que tal contabilização só faça efeito após uma futura progressão e todos os escalões da carreira, à excepção do 5.º, têm quatro anos",Fact
5d04c557896a7fea06a0fbc4,C,5.0,"[[5445, 5757]]","Portugal é o país da Europa com os índices mais baixos de filmes produzidos per capita e com menos espectadores para os filmes nacionais (chegando a ser quarenta a cinquenta vezes inferior à média europeia, em anos “normais”, ou seja, em anos em que não é exibido um filme que ultrapassa os 100 mil espectadores)",Fact
5cf46196896a7fea06ff8b01,A,44.0,"[[417, 456]]",realizado o estudo de impacto ambiental,Fact
5cf45ba5896a7fea06ff2a64,B,20.0,"[[2420, 2499]]","assistimos, há poucos anos, ao fechar de portas de um distribuidor farmacêutico",Fact
